protein,log2_fold_change,infected_vs_control_p.adj
G1TDA7,1.021658653,0.842
A0A5F9C4H5,1.034804064,0.843
G1SJX3,-1.582710202,0.843
G1ST34,-0.708569114,0.843
G1U7M9,0.767565888,0.843
G1SP32,-0.687307336,0.844
G1TVT0,-0.839435879,0.844
P79226,0.916081114,0.844
G1SIZ2,-0.823958238,0.845
G1T2T5,0.759172589,0.845
G1TV43,-3.794920274,0.845
G1U7D9,1.144977028,0.845
U3KNV6,-0.775328103,0.846
G1T2K5,0.527628309,0.847
P29294,1.59795234,0.847
U3KM78,1.047517327,0.847
G1SK00,-1.627731236,0.848
G1TBH2,0.563387022,0.848
G1TLT8,0.541220586,0.848
P12345,0.575503518,0.848
A0A5F9DNZ0,-0.643516373,0.849
G1SSR3,0.527118121,0.849
P41035,-0.613013166,0.849
A0A5F9CUP1,-1.855218027,0.85
G1SPS5,-0.495877639,0.85
A0A5F9C1D1,0.547670445,0.852
A0A5F9DCX4,0.843820411,0.852
A0A5F9DEG3,0.803799612,0.852
G1SQG5,0.548028041,0.852
G1SW32,-1.399512746,0.852
U3KM71,-1.93054156,0.852
A0A5F9C7A0,-1.056723119,0.853
G1SFV7,-1.715114875,0.853
G1TEQ1,-2.419217841,0.853
A0A5F9DSW5,-0.568997287,0.854
G1SIT9,-1.773761473,0.854
G1SVW5,0.513984397,0.854
A0A5F9C4J3,-3.678876048,0.855
G1T813,-0.749152595,0.855
G1TH09,1.63062237,0.855
G1TTY7,2.709879784,0.855
G1TXB8,-0.582400602,0.855
P11707,1.196253905,0.855
G1STP0,0.516132753,0.856
G1TB49,0.655806085,0.856
G1TBC1,-0.556753208,0.856
G1TF82,-0.79939469,0.856
Q05556,-0.587403547,0.856
A0A5F9C581,0.545831347,0.858
A0A5F9CAH3,1.527326443,0.858
A0A5F9CAV1,-0.715871348,0.858
A0A5F9CHX0,1.039770084,0.859
A0A5F9C8K0,-0.579173303,0.86
A0A5F9CLL5,0.788559856,0.86
G1SPY9,-0.449410937,0.86
G1T0X2,1.606957155,0.86
G1U346,0.783152725,0.86
A0A5F9CAE5,-0.524418811,0.861
A0A5F9D173,-0.637134782,0.861
A0A5F9DIA9,-0.650939163,0.861
G1T8Z0,0.814133777,0.861
Q28719,-1.191246677,0.861
G1SH26,2.355210711,0.862
G1SR03,0.4637068,0.863
G1TGT5,-1.055735017,0.863
G1U4M1,-1.46898658,0.863
G1SIW8,0.485001435,0.864
G1T974,1.819395784,0.864
G1TD61,-1.370906486,0.864
A0A5F9DAX3,-1.598452862,0.865
G1SDG2,-1.836311085,0.865
P62497,0.666800265,0.865
A0A5F9CKD8,-0.658988535,0.866
A0A5F9DKY6,-1.239034212,0.866
G1T2G5,-0.904863615,0.866
G1U5X6,0.498044969,0.866
A0A5F9D7P9,1.030040615,0.867
G1SGG6,-0.882626087,0.867
G1SHS7,-0.582578953,0.867
G1TE64,2.131287428,0.867
P00187,-2.89104709,0.867
G1SL80,-0.460338254,0.868
A0A5F9D2K5,-1.129623139,0.869
G1SG80,-0.602819796,0.87
G1SMS3,0.46113508,0.87
G1T336,0.710440743,0.87
G1TDB3,0.550273015,0.87
A0A5F9CCV3,-1.748385933,0.871
A0A5F9DND9,-0.916501529,0.871
G1SJI5,-1.900849072,0.871
G1SK22,0.989470428,0.871
G1SKD9,0.468040597,0.871
G1SMY7,0.548745485,0.871
G1SSK8,-0.973854361,0.871
G1SU82,-1.796546121,0.871
P00389,0.590619222,0.871
A0A5F9C538,-0.614364075,0.872
G1SY53,3.007491742,0.872
G1U6B2,0.572453174,0.872
Q28717,0.503358726,0.872
G1T301,0.8048941,0.873
A0A5F9CUW7,-0.478916824,0.874
O62742,0.498014568,0.874
O79431,-0.816269169,0.874
P13642,1.99765814,0.874
