"","name","ID","infected_vs_control_p.val","infected_vs_control_p.adj","significant","infected_vs_control_significant","infected_vs_control_ratio","control_centered","infected_centered"
"1073","tr|G1U754|G1U754_RABIT","tr|G1U754|G1U754_RABIT",0.00078025742752772,0.117,FALSE,FALSE,-2.19,1.09,-1.09
"1074","tr|G1U7C6|G1U7C6_RABIT","tr|G1U7C6|G1U7C6_RABIT",0.503481833823755,0.922,FALSE,FALSE,-0.769,0.385,-0.385
"1075","tr|G1U7D9|G1U7D9_RABIT","tr|G1U7D9|G1U7D9_RABIT",0.0870802026046059,0.845,FALSE,FALSE,1.14,-0.572,0.572
"1076","tr|G1U7G6|G1U7G6_RABIT","tr|G1U7G6|G1U7G6_RABIT",0.36464416235824,0.912,FALSE,FALSE,0.466,-0.233,0.233
"1077","tr|G1U7I9|G1U7I9_RABIT","tr|G1U7I9|G1U7I9_RABIT",0.0102078279351243,0.591,FALSE,FALSE,-0.862,0.431,-0.431
"1078","tr|G1U7L4|G1U7L4_RABIT","tr|G1U7L4|G1U7L4_RABIT",0.25753363679227,0.899,FALSE,FALSE,-0.354,0.177,-0.177
"1079","tr|G1U7M9|G1U7M9_RABIT","tr|G1U7M9|G1U7M9_RABIT",0.0849483955799208,0.843,FALSE,FALSE,0.768,-0.384,0.384
"1080","tr|G1U891|G1U891_RABIT","tr|G1U891|G1U891_RABIT",0.0472436627185656,0.799,FALSE,FALSE,2.6,-1.3,1.3
"1081","tr|G1U8P2|G1U8P2_RABIT","tr|G1U8P2|G1U8P2_RABIT",0.0114328620384476,0.612,FALSE,FALSE,-1.9,0.95,-0.95
"1082","tr|G1U974|G1U974_RABIT","tr|G1U974|G1U974_RABIT",0.324362624188389,0.908,FALSE,FALSE,0.323,-0.162,0.162
"1083","tr|G1U9P0|G1U9P0_RABIT","tr|G1U9P0|G1U9P0_RABIT",0.176109969349099,0.883,FALSE,FALSE,0.589,-0.295,0.295
"1084","tr|G1U9Q9|G1U9Q9_RABIT","tr|G1U9Q9|G1U9Q9_RABIT",0.0568891669417454,0.814,FALSE,FALSE,-1.25,0.626,-0.626
"1085","tr|G1U9R0|G1U9R0_RABIT","tr|G1U9R0|G1U9R0_RABIT",0.0301644685148554,0.753,FALSE,FALSE,-1.23,0.617,-0.617
"1086","tr|G1U9R4|G1U9R4_RABIT","tr|G1U9R4|G1U9R4_RABIT",0.053522072913609,0.809,FALSE,FALSE,1.47,-0.736,0.736
"1087","tr|G1U9R8|G1U9R8_RABIT","tr|G1U9R8|G1U9R8_RABIT",0.0344645394216239,0.768,FALSE,FALSE,-1.38,0.692,-0.692
"1088","tr|G1U9S2|G1U9S2_RABIT","tr|G1U9S2|G1U9S2_RABIT",0.0263367355640409,0.738,FALSE,FALSE,-1.66,0.83,-0.83
"1089","tr|G1U9S7|G1U9S7_RABIT","tr|G1U9S7|G1U9S7_RABIT",0.159316012857488,0.879,FALSE,FALSE,0.471,-0.235,0.235
"1090","tr|G1U9T1|G1U9T1_RABIT","tr|G1U9T1|G1U9T1_RABIT",0.785844520236367,0.935,FALSE,FALSE,0.0924,-0.0462,0.0462
"1091","tr|G1U9U0|G1U9U0_RABIT","tr|G1U9U0|G1U9U0_RABIT",0.456793963807801,0.919,FALSE,FALSE,0.195,-0.0975,0.0975
"1092","tr|G1U9U1|G1U9U1_RABIT","tr|G1U9U1|G1U9U1_RABIT",0.0680628425739783,0.828,FALSE,FALSE,-0.758,0.379,-0.379
"1093","tr|U3KLT5|U3KLT5_RABIT","tr|U3KLT5|U3KLT5_RABIT",0.796888279412307,0.935,FALSE,FALSE,0.0731,-0.0366,0.0366
"1094","tr|U3KLV2|U3KLV2_RABIT","tr|U3KLV2|U3KLV2_RABIT",0.0188706888626235,0.693,FALSE,FALSE,-1.4,0.698,-0.698
"1095","tr|U3KLZ3|U3KLZ3_RABIT","tr|U3KLZ3|U3KLZ3_RABIT",0.0528933216776473,0.808,FALSE,FALSE,-2.79,1.39,-1.39
"1096","tr|U3KM06|U3KM06_RABIT","tr|U3KM06|U3KM06_RABIT",0.246555073714912,0.898,FALSE,FALSE,0.426,-0.213,0.213
"1097","tr|U3KM43|U3KM43_RABIT","tr|U3KM43|U3KM43_RABIT",0.661768497190214,0.93,FALSE,FALSE,0.145,-0.0727,0.0727
"1098","tr|U3KM71|U3KM71_RABIT","tr|U3KM71|U3KM71_RABIT",0.0977000828008543,0.852,FALSE,FALSE,-1.93,0.965,-0.965
"1099","tr|U3KM78|U3KM78_RABIT","tr|U3KM78|U3KM78_RABIT",0.0893894134182263,0.847,FALSE,FALSE,1.05,-0.524,0.524
"1100","tr|U3KMH9|U3KMH9_RABIT","tr|U3KMH9|U3KMH9_RABIT",0.369846471626491,0.912,FALSE,FALSE,-0.365,0.183,-0.183
"1101","tr|U3KML1|U3KML1_RABIT","tr|U3KML1|U3KML1_RABIT",0.000943426559389182,0.138,FALSE,FALSE,-4.65,2.32,-2.32
"1102","tr|U3KMR2|U3KMR2_RABIT","tr|U3KMR2|U3KMR2_RABIT",0.00557781718621599,0.464,FALSE,FALSE,-3.39,1.69,-1.69
"1103","tr|U3KN77|U3KN77_RABIT","tr|U3KN77|U3KN77_RABIT",0.962502360718501,0.94,FALSE,FALSE,-0.0166,0.00831,-0.00831
"1104","tr|U3KNH6|U3KNH6_RABIT","tr|U3KNH6|U3KNH6_RABIT",0.00314360653036384,0.33,FALSE,FALSE,1.31,-0.653,0.653
"1105","tr|U3KNV6|U3KNV6_RABIT","tr|U3KNV6|U3KNV6_RABIT",0.0881135174983226,0.846,FALSE,FALSE,-0.775,0.388,-0.388
"1106","tr|U3KP10|U3KP10_RABIT","tr|U3KP10|U3KP10_RABIT",0.679306357445612,0.931,FALSE,FALSE,-0.116,0.0581,-0.0581
"1107","tr|U3KP75|U3KP75_RABIT","tr|U3KP75|U3KP75_RABIT",0.241941701465405,0.897,FALSE,FALSE,0.347,-0.173,0.173
"1108","tr|U3KPM4|U3KPM4_RABIT","tr|U3KPM4|U3KPM4_RABIT",0.997705299250426,0.941,FALSE,FALSE,-0.00115,0.000574,-0.000574
